English_Word,Examples
dry dock,"- The ship was taken into dry dock for repairs.
- - Dry docks are essential for maintaining large vessels.
- - They had to dry dock the ship to repair the hull.
- - The navy will dry dock the submarine for maintenance."
duty-free shop,"- I bought a bottle of perfume at the duty-free shop.
- - She always buys cigarettes at the duty-free shop when she travels."
e-tailing,"- E-tailing has grown significantly in recent years.
- - Many traditional retailers are now also involved in e-tailing."
eco-warrior,"- The eco-warriors chained themselves to the bulldozers to stop the deforestation.
- - She is an eco-warrior, always protesting against environmental damage.
- - Some consider them eco-warriors, while others see them as extremists.
- - The eco-warriors are known for their direct action tactics."
effeminate,"- He has an effeminate manner.
- - The character was portrayed as effeminate in the play.
- - Some consider his gestures to be effeminate.
- - He was criticized for his effeminate behavior."
eldest,"- She is the eldest of three sisters.
- - He is the eldest son in the family.
- - As the eldest, he inherited the family estate.
- - The eldest is responsible for the younger siblings."
electric vehicle,"- Electric vehicles are becoming increasingly popular.
- - Many governments offer incentives to purchase an electric vehicle."
embankment,"- The embankment was built to prevent the river from flooding the town.
- - We walked along the embankment, enjoying the view of the water.
- - The railway line was constructed on a high embankment.
- - They used heavy machinery to create the embankment."
emotional,"- She is an emotional person.
- - The movie had an emotional impact on me.
- - He gave an emotional speech.
- - She gets emotional when she talks about her childhood.
- - The game was very emotional for the fans.
- - It was an emotional moment when they announced the winner."
end up end up,"- We ended up staying in a hotel.
- - If you keep doing that, you'll end up in prison.
- - The meeting ended up being longer than expected.
- - Where did those files end up?"
engage,"- They engaged in a lively debate about politics.
- - The company is looking for ways to engage their employees.
- - They got engaged last summer.
- - When did you get engaged?
- - The army engaged the enemy forces.
- - He engaged the clutch to start the engine."
envious,"- She was envious of her friend's new car.
- - I'm envious of your ability to speak French so fluently.
- - He felt envious when he saw his brother's success.
- - Don't be envious of others; focus on your own goals."
enzyme,"- Enzymes are biological catalysts.
- - The enzyme breaks down the protein."
evangelical,"- The evangelical church is very active in the community.
- - He holds strong evangelical beliefs.
- - The evangelical movement seeks to spread the gospel.
- - She is an evangelical Christian."
everybody,"- Everybody is welcome to the party.
- - Everybody knows that the Earth is round.
- - Everybody should have access to clean water.
- - Everybody enjoyed the concert."
exceptionally,"- She is an exceptionally talented musician.
- - The weather was exceptionally hot this summer.
- - The project was exceptionally well-managed.
- - He performed exceptionally well under pressure."
exchange,"- They exchanged gifts at Christmas.
- - We exchanged numbers and agreed to keep in touch.
- - The exchange rate between the dollar and the euro is constantly fluctuating.
- - I need to buy some foreign exchange before my trip.
- - He works at the stock exchange.
- - The exchange closed higher today."
exhortation,"- The coach gave his team an exhortation to try harder.
- - Her exhortation to be cautious fell on deaf ears.
- - The sermon was mainly an exhortation against greed.
- - He delivered an emotional exhortation to save the environment.
- - The general's exhortation inspired the troops before the battle.
- - She offered an exhortation about the importance of education."
exorcise,"- The priest attempted to exorcise the demon from the possessed child.
- - They believe they can exorcise evil spirits through prayer.
- - He needed to exorcise his feelings of anger before he could move on.
- - The company is trying to exorcise its reputation for poor service."
expanding,"- The city is expanding rapidly.
- - Our business is expanding into new markets.
- - They are an expanding company.
- - The expanding universe is a topic of great interest."
extract,"- The dentist had to extract one of my teeth.
- - They extract oil from olives.
- - I couldn't extract any information from him.
- - They are trying to extract a confession from the suspect.
- - The researcher extracted DNA from the sample.
- - The program can extract data from the document."
facile,"- The test was surprisingly facile.
- - He gave a facile explanation of the situation.
- - That's a facile comparison.
- - His facile optimism annoyed everyone.
- - Her arguments were rather facile.
- - The movie offered a facile treatment of the issue."
faff,"- Stop faffing around and get the job done!
- - I spent the whole morning faffing about in the kitchen.
- - There was a lot of faff involved in organising the conference.
- - I can't be bothered with all the faff.
- - He's always faffing about with his computer.
- - Just stop faffing about and concentrate."
fahrenheit,"- Water freezes at 32 degrees Fahrenheit.
- - The temperature today will reach 90 degrees Fahrenheit."
faithful,"- He was a faithful husband.
- - She has been a faithful friend for many years.
- - This is a faithful reproduction of the original painting.
- - The movie is a faithful adaptation of the novel.
- - She is a faithful member of her church.
- - They are faithful to their religious beliefs."
fall down,"- He tripped and fell down the stairs.
- - The old building is starting to fall down.
- - The project fell down due to lack of funding.
- - Her business fell down after the pandemic.
- - The rain began to fall down harder.
- - Prices are expected to fall down next month."
fall off the radar,"- After the scandal, he fell off the radar.
- - The project fell off the radar when the funding was cut.
- - He fell off the radar after moving to another country.
- - I haven't heard from her in months; she's completely fallen off the radar."
fat,"- He is a fat man.
- - The meat was very fat.
- - This meat is high in fat.
- - Cook the potatoes in oil or fat.
- - She has a fat bank account.
- - The book was fat with information."
fatherhood,"- Fatherhood is a great responsibility.
- - He embraced fatherhood with open arms.
- - Fatherhood changed his perspective on life.
- - The challenges of fatherhood are also its rewards."
feverish,"- She felt feverish and decided to stay home from work.
- - The child's forehead was hot; he seemed feverish.
- - The crowd was feverish with anticipation before the concert.
- - His feverish enthusiasm for the project was contagious."
fiddler,"- He is a skilled fiddler.
- - The fiddler played a lively tune.
- - She likes to fiddler at local pubs.
- - He started to fiddler when he was five years old.
- - He's a fiddler when it comes to taxes.
- - Don't trust him; he's a known fiddler."
field hockey,"- She plays field hockey every Saturday.
- - The field hockey team won the championship."
fight out,"- They will fight it out in court.
- - The two teams fought it out for the championship.
- - Let's fight it out and see who is right.
- - We need to fight out our differences."
finger food,"- We served finger food at the party.
- - There was plenty of finger food to go around.
- - The restaurant offers a variety of finger food as appetizers.
- - I love going to parties with lots of finger food.
- - She prepared some finger food, including canapés, for the guests.
- - The catering company provided a selection of elegant finger food."
flare,"- The flare from the explosion lit up the night sky.
- - He used a flare to signal for help.
- - The fire flared up when he added more wood.
- - Tensions flared between the two countries.
- - The skirt had a slight flare at the bottom.
- - These pants have a wide flare."
flutter,"- The birds fluttered their wings.
- - Flags fluttered in the breeze.
- - She fluttered around, trying to get everything ready.
- - My heart fluttered when I saw him.
- - There was a flutter of excitement before the show began.
- - She felt a flutter in her stomach before the exam."
folk music,"- She enjoys listening to folk music.
- - The festival featured a variety of folk music performances.
- - Folk music often tells stories about daily life.
- - He is an expert in the field of folk music."
food group,"- Fruits and vegetables are important food groups.
- - A balanced diet includes all the major food groups."
"foreign, commonwealth and development office","- The Foreign, Commonwealth and Development Office is responsible for promoting the UK's interests abroad.
- - The FCDO provides consular services to British citizens travelling overseas."
foul line,"- He stepped over the foul line while bowling.
- - The batter was called out for stepping out of the batter's box and over the foul line."
from time immemorial,"- This tradition has been observed from time immemorial.
- - The land has belonged to our family from time immemorial.
- - They have lived in this village from time immemorial.
- - The practice dates back from time immemorial."
full-bodied,"- This wine has a full-bodied flavor.
- - She has a full-bodied singing voice.
- - The novel features a full-bodied character.
- - This is a full-bodied account of the events."
fumble,"- He fumbled the ball and lost possession.
- - She fumbled in her purse for her keys.
- - The politician fumbled his words during the speech.
- - I always fumble when I try to explain this concept.
- - The fumble cost them the game.
- - His fumble of the opportunity was a great disappointment."
furious,"- She was furious when she found out.
- - He was furious at the delay.
- - The storm raged with furious intensity.
- - A furious debate erupted in the meeting."
future continuous,"- I will be studying at the library tomorrow afternoon.
- - They will be playing football at 3 PM.
- - She will be working on the project for the next three months.
- - We will be living in Paris for a year.
- - He will be arriving soon.
- - They will be attending the conference next week."
gainful,"- He found gainful employment in the construction industry.
- - She used her skills to find gainful work.
- - Starting a small business can be a gainful activity.
- - Investing in education is a gainful pursuit."
gal.,"- I need a gal. of milk.
- - The car's fuel tank holds 15 gal."
gear lever,"- The gear lever is used to change gears in a manual transmission car.
- - He accidentally broke the gear lever while shifting."
genetically,"- The disease is genetically transmitted.
- - These tomatoes are genetically modified to resist pests."
genetically modified,"- Many crops are genetically modified to resist pests.
- - There is much debate about the safety of genetically modified foods."
geochemistry,"- Geochemistry is the study of the chemical composition of the Earth.
- - The geochemistry of the rock sample revealed its origin."
get a word in edgeways,"- I couldn't get a word in edgeways with all the arguing.
- - She was talking so fast that nobody could get a word in edgeways."
get in get in,"- Get in the car; we're leaving now.
- - How did the burglars get in?
- - She worked hard to get in to Harvard University.
- - He finally managed to get in with the right crowd."
get the impression,"- I get the impression that he doesn't like me.
- - Did you get the impression that they were lying?
- - I get the impression she is a very competent manager.
- - He gets the impression that everyone is watching him."
gild,"- The dome was gilded with gold leaf.
- - They gilded the edges of the book.
- - He tried to gild his reputation by donating to charity.
- - She gilded the story to make it more interesting."
girls’ school,"- She went to a girls' school.
- - The girls' school has a good reputation."
good news,"- I have some good news for you.
- - Hearing that she was safe was good news.
- - The company's profits are good news for shareholders.
- - His recovery from the illness is good news to everyone."
google,"- Google is a very large company.
- - I work at Google.
- - I need to google that information.
- - He googled the answer to the question.
- - Use Google to find the answer.
- - Google is the most popular search engine."
grace,"- She moves with grace and elegance.
- - The dancer's grace was mesmerizing.
- - He accepted the award with grace.
- - They were thankful for the grace of God.
- - Her paintings grace the walls of the gallery.
- - Flowers graced the table."
granita,"- I ordered a refreshing granita on a hot day.
- - The granita was flavored with lemon and mint."
grazier,"- The grazier moved his cattle to a new pasture.
- - The grazier's land was vast and fertile.
- - Cattle are typical graziers in this region.
- - The grazier consumed large amounts of grass daily."
guardian angel,"- I believe everyone has a guardian angel watching over them.
- - She always felt like her grandmother was her guardian angel.
- - He acted as a guardian angel to the orphaned children, providing them with food and shelter.
- - The charity served as a guardian angel for families struggling with poverty."
gull,"- The gull soared above the ocean waves.
- - We watched a gull scavenging for food on the beach."
gunwale,"- He leaned against the gunwale, watching the sunset.
- - The waves crashed over the gunwale during the storm."
half note,"- A half note is held for twice as long as a quarter note.
- - He played a beautiful melody using mostly half notes."
halwa,"- She prepared halwa for the festival.
- - We enjoyed the sweet taste of halwa after dinner."
handling,"- The handling of the situation was poorly managed.
- - Careful handling is required for fragile items.
- - The company is handling a large volume of orders.
- - She is good at handling difficult customers.
- - The car has excellent handling.
- - Improved handling makes the vehicle safer."
hang-glider,"- He enjoys hang-gliding off the cliffs.
- - Hang-gliding is an exhilarating but dangerous sport.
- - I want to learn to hang-glide this summer.
- - She hang-glided over the valley."
hangman,"- Let's play a game of hangman.
- - She is very good at hangman."
hangnail,"- She got a hangnail and it was very painful.
- - He was picking at a hangnail on his thumb."
have   trouble,"- I have trouble understanding him.
- - She has trouble sleeping."
have an interest in,"- I have an interest in history.
- - She has an interest in learning new languages.
- - Do you have an interest in joining our club?
- - He has an interest in how things work.
- - They have an interest in environmental issues.
- - We have an interest in the outcome of the election."
hdtv,"- I just bought a new HDTV.
- - HDTVs provide a much clearer picture than older TVs."
heading,"- The heading of the article was very catchy.
- - I didn't understand the heading of this chapter.
- - The ship changed its heading towards the storm.
- - What is the plane's current heading?
- - They are heading to the beach.
- - The company is heading towards bankruptcy."
headland,"- The ship sailed around the headland.
- - We hiked to the end of the headland for a better view.
- - The headland of the chapter was 'The Journey Begins'.
- - She designed a beautiful headland for her website."
hearty,"- He gave me a hearty welcome.
- - They shared a hearty laugh.
- - We had a hearty stew for dinner.
- - This is a hearty breakfast.
- - He is a hearty old man.
- - She has a hearty appetite."
hedgerow,"- The farmer planted a hedgerow to mark the boundary of his field.
- - Birds often build their nests in hedgerows for protection.
- - We walked along the lane, enjoying the view of the hedgerow.
- - The hedgerow provided a natural habitat for many insects."
help on with,"- Can you help me on with my coat?
- - She helped him on with his research.
- - The nurse helped the patient on with his socks.
- - She helped the child on with his gloves."
hereby,"- The company is hereby authorized to conduct business.
- - You are hereby notified that your services are no longer required."
hexagon,"- A hexagon has six sides.
- - The tiles were shaped like hexagons."
high-flying,"- She is a high-flying executive in a major corporation.
- - He's a high-flying entrepreneur with several successful startups.
- - The company has high-flying plans for expansion.
- - His high-flying ideas often clash with the company's budget.
- - The high-flying acrobat amazed the audience.
- - We watched the high-flying birds soar through the sky."
hogmanay,"- Hogmanay is the Scottish celebration of the New Year.
- - We always celebrate Hogmanay with friends and family."
homophobia,"- Homophobia is a serious problem in many societies.
- - He faced homophobia because of his sexual orientation.
- - The rally was organized to protest homophobia and discrimination.
- - Schools need to address homophobia to create a safe environment for all students."
how old are you,"- How old are you, if you don't mind me asking?
- - He asked how old are you.
- - Asking someone how old they are can sometimes be considered rude.
- - It's not polite to ask how old are you right after meeting someone."
i reckon,"- I reckon it's going to rain today.
- - I reckon that's a good idea.
- - I reckon I owe you ten dollars.
- - Can you reckon the total cost?
- - I reckon he's telling the truth.
- - I reckon we should leave now."
i wonder,"- I wonder what she is doing now.
- - I wonder if it will rain tomorrow.
- - I wonder at the beauty of the sunset.
- - We all wonder at his incredible talent.
- - I wonder whether I should apply for the job.
- - I wonder if they will ever find the missing treasure."
i'd like to speak to,"- I'd like to speak to Mr. Smith, please.
- - I'd like to speak to the manager about this issue.
- - I'd like to speak to someone about my account.
- - I'd like to speak to her regarding the new project."
ice,"- The ice is very slippery.
- - I'd like some ice in my drink.
- - The road iced over last night.
- - Be careful, the puddles have iced up."
ident,"- He has lost his ident.
- - The ident was checked at the door."
ignoble,"- His ignoble actions shocked everyone.
- - It was an ignoble act of betrayal.
- - He made an ignoble retreat from the battlefield.
- - Lying is an ignoble way to win.
- - The spy was caught committing an ignoble deed.
- - It is ignoble to take advantage of the weak."
illicit,"- The company was engaged in illicit activities.
- - He was arrested for selling illicit drugs.
- - They were involved in the illicit trade of diamonds.
- - The police uncovered an illicit arms business.
- - She had an illicit affair with her boss.
- - The book described the illicit pleasures of the city."
imaginable,"- The possibilities are almost imaginable.
- - It was an imaginable scenario.
- - Every imaginable color was used.
- - They have every imaginable gadget in their kitchen."
immaturity,"- His immaturity was evident in his constant pranks.
- - The manager was frustrated by the employee's immaturity.
- - The immaturity of the fruit made it taste sour.
- - The writer's immaturity was reflected in the simplistic plot."
impenitent,"- The impenitent thief showed no remorse for his crimes.
- - Despite the evidence, he remained impenitent and defiant.
- - The impenitent rain continued to fall throughout the night.
- - Her impenitent determination to succeed was admirable."
impish,"- The impish child hid his brother's toys.
- - She had an impish grin on her face.
- - His eyes had an impish sparkle.
- - The puppy's impish behavior kept us entertained.
- - He's got an impish sense of humor.
- - Her impish comments always made us laugh."
implore,"- She implored him to stay.
- - They implored the authorities to help.
- - I implore you to reconsider your decision.
- - He implored her to forgive him.
- - We implore God for guidance.
- - The refugees implored aid from international organizations."
important for,"- Education is important for a better future.
- - This meeting is very important for our project.
- - Exercise is important for your health.
- - Sufficient sleep is important for your mental well-being.
- - Honesty is important for building trust.
- - Communication is important for a successful relationship."
in a way,"- He managed to fix the car in a way I couldn't understand.
- - She spoke in a way that made everyone feel comfortable.
- - He looked at her in a way that suggested he was in love.
- - The room was decorated in a way that resembled a palace.
- - He presented the information in a way that was easy to understand.
- - The artist painted the portrait in a way that captured her personality."
in amazement,"- She stared at the magician in amazement.
- - We watched the sunset in amazement.
- - The audience listened to her performance in amazement.
- - He looked at the intricate artwork in amazement."
in such a way that,"- He arranged the books in such a way that they were easily accessible.
- - The instructions were written in such a way that everyone could understand them.
- - The room was darkened in such a way that it was impossible to see.
- - He designed the system in such a way that it could handle large amounts of data.
- - They positioned the cameras in such a way that they captured every angle.
- - She presented her findings in such a way that they were easily understood."
in the form of sb/sth,"- The protesters gathered in the form of a human chain.
- - The company received the complaint in the form of a letter.
- - The spy appeared in the form of a businessman.
- - The idea came to him in the form of a dream.
- - The food was served in the form of small appetizers.
- - The information was presented in the form of a graph."
indefinite article,"- A and an are indefinite articles.
- - We use 'a' before consonant sounds."
indirect speech,"- She said that she was tired.
- - He told me that he would be late.
- - Indirect speech changes the tense of the verb.
- - The teacher explained the rules of indirect speech.
- - He used indirect speech to report the conversation.
- - Indirect speech is often used in news reports."
industrial revolution,"- The Industrial Revolution began in Great Britain.
- - The Industrial Revolution dramatically changed society.
- - The Industrial Revolution led to new technologies.
- - The Industrial Revolution impacted the environment."
inequality,"- There is a significant inequality in wealth distribution.
- - The inequality between men and women in the workplace is still a problem.
- - He spoke out against the inequality in the justice system.
- - Social inequality can lead to unrest.
- - There is an inequality in their abilities.
- - The inequality in resources affected the project."
inflexibly,"- The company inflexibly adheres to its policies.
- - He inflexibly refused to compromise on his principles.
- - The rules were applied inflexibly to everyone, regardless of circumstance.
- - The design was implemented inflexibly, without considering user feedback."
instant-message,"- I sent her an instant message.
- - Instant messages are a quick way to communicate.
- - Did you get my IM?
- - He prefers IM to email."
internalize,"- He has internalized his father's values.
- - Children internalize the values of their parents.
- - She has internalized the belief that she is not good enough.
- - We need to internalize these safety procedures.
- - The new rules were difficult to internalize at first.
- - The company wants its employees to internalize its mission statement."
invest in,"- I want to invest in real estate.
- - They decided to invest in renewable energy.
- - He invested his savings in the stock market.
- - She invested a lot of money in her business.
- - I've invested a lot of time in this project.
- - She invested a great deal of effort into learning the language."
it is said that,"- It is said that he is a very talented musician.
- - It is said that the city is haunted.
- - It is said that the treasure is buried on this island.
- - It is said that she was a famous spy during the war.
- - It is said that honesty is the best policy.
- - It is said that hard work always pays off."
it’s a … day,"- It's a beautiful day to go for a walk.
- - It's a perfect day for a picnic.
- - I spilled coffee all over my shirt this morning. It's a day!
- - First the car broke down, then I lost my wallet. It's a day, alright.
- - We laughed, we cried, we shared stories. It's a day to remember.
- - After all the hard work, we finally finished the project. It's a day for celebration!"
i’d like …,"- I'd like a cup of coffee, please.
- - I'd like to go to the cinema tonight.
- - I'd like to thank everyone for coming.
- - I'd like to start by introducing myself.
- - I'd like to sit near the window.
- - I'd like the blue one, please."
i’m looking for …,"- I'm looking for my keys; have you seen them?
- - She's looking for a new job with better pay.
- - I'm looking to buy a house next year.
- - We're looking to expand our business into new markets.
- - I'm looking for a response from the company soon.
- - We're looking for better results this quarter."
jump ship,"- After the company lost its biggest client, many employees decided to jump ship.
- - He jumped ship when he saw that the project was failing.
- - Seeing the difficulty of the task, he decided to jump ship and leave it to others.
- - She jumped ship on the fundraising effort when she realized how much work it would be."
junk food,"- I try to avoid eating junk food.
- - Too much junk food can be bad for your health.
- - Junk food is often high in calories and low in nutrients.
- - Fast food restaurants often serve junk food."
keep a promise,"- You must keep your promise to visit your grandmother.
- - I always try to keep my promises, no matter how difficult.
- - The company kept its promise to deliver the product on time.
- - He kept his promise and called me as soon as he arrived."
keep your own counsel,"- In such a situation, it is best to keep your own counsel.
- - He decided to keep his own counsel on the matter.
- - She learned to keep her own counsel after being betrayed.
- - It's wise to keep your own counsel when dealing with sensitive information."
khmer,"- She is studying Khmer at university.
- - Khmer is a fascinating language.
- - He is Khmer and proud of his heritage.
- - The Khmer people have a rich history.
- - This is a Khmer temple.
- - The Khmer script is beautiful."
kick off,"- The meeting will kick off at 9 a.m. sharp.
- - They kicked off the project with a launch party.
- - He was kicked off the team for bad behavior.
- - The bouncer kicked him off the premises.
- - The referee blew his whistle to kick off the game.
- - Which team will kick off in the first half?"
kid,"- She has two kids, a boy and a girl.
- - The kids were playing in the park.
- - The farmer raised goats and kids.
- - A kid is a young goat.
- - Are you kidding me?
- - I'm just kidding, don't be so serious."
kind regards,"- I look forward to hearing from you soon. Kind regards.
- - Please find attached the document you requested. Kind regards.
- - Thank you for your help. Kind regards.
- - I hope you have a great day. Kind regards.
- - It was a pleasure meeting you. Kind regards.
- - We appreciate your business. Kind regards."
lacquer,"- The table has a smooth lacquer finish.
- - She applied a coat of lacquer to protect the wood.
- - He lacquered the jewelry box to give it a shine.
- - The craftsman carefully lacquered the surface."
landing gear,"- The landing gear of the plane failed to deploy.
- - The pilot checked the landing gear before approaching the runway."
languid,"- We spent a languid afternoon by the river.
- - She made a languid movement with her hand.
- - The sun beat down with languid heat.
- - A languid smile crossed his face.
- - He spoke with a languid disinterest.
- - Her languid response suggested boredom."
lass,"- The lass was playing in the park.
- - He saw a young lass walking down the street."
launch,"- They will launch the new product next week.
- - The rocket launched successfully.
- - She decided to launch her own business.
- - The company launched a new initiative.
- - The launch of the new phone was a success.
- - We are planning for the product launch."
leak,"- The pipe started to leak.
- - Someone leaked the information to the press.
- - There was a leak in the roof.
- - The plumber fixed the leak.
- - A security leak exposed sensitive data.
- - The government is investigating the leak of classified documents."
learning disability,"- He has a learning disability that affects his reading.
- - Early intervention can help children with learning disabilities."
"left, right and centre","- The project was supported left, right, and centre.
- - The media covered the event left, right, and centre.
- - People from left, right, and centre attended the conference.
- - The politician tried to appeal to voters from left, right and centre."
lie at the bottom of something,"- The truth lies at the bottom of this mystery.
- - The answer to our problems lies at the bottom of hard work and dedication.
- - The reason for their failure lies at the bottom of poor planning.
- - The success of the project lies at the bottom of a strong team."
lies at the heart of,"- The issue of trust lies at the heart of the conflict.
- - Honesty lies at the heart of any good relationship.
- - Effective communication lies at the heart of teamwork.
- - Innovation lies at the heart of their success."
lighting,"- The lighting in the room was very dim.
- - Good lighting is essential for photography.
- - The city's lighting at night is beautiful.
- - They invested in new street lighting to improve safety.
- - We saw a flash of lighting during the storm.
- - Lighting can be dangerous if you are outside."
lissom,"- She moved with a lissom grace.
- - The dancer's lissom body was a testament to years of training.
- - The gymnast was remarkably lissom.
- - Lissom movements are essential for ballet.
- - The lissom branch bent in the wind but did not break.
- - The material was lissom and easy to work with."
lock down,"- The prisoners were locked down in their cells.
- - The building was locked down after the bomb threat.
- - The city experienced a complete lockdown during the pandemic.
- - The lockdown measures were strictly enforced.
- - The factory was locked down due to the strike.
- - The project was locked down until further notice."
logo,"- The company's logo is easily recognizable.
- - They redesigned their logo to be more modern."
mahayana,"- Mahayana Buddhism emphasizes the path of the bodhisattva.
- - The Mahayana school is prevalent in East Asia.
- - Mahayana is one of the two major branches of Buddhism.
- - Followers of Mahayana Buddhism aim to achieve enlightenment for all beings."
mainframe,"- The company still relies on its mainframe for critical operations.
- - Mainframes are known for their reliability and processing power."
make dinner,"- I need to make dinner for my family tonight.
- - What time should we start making dinner?"
make the most of,"- We should make the most of the good weather and go to the beach.
- - She wanted to make the most of her time in Europe.
- - You need to make the most of every opportunity that comes your way.
- - He made the most of his natural talent and became a famous musician.
- - Life is short, so you should make the most of it.
- - They were determined to make the most of their retirement."
make up,"- He made up a story about being late.
- - She made up an excuse for not doing her homework.
- - They argued, but they made up quickly.
- - After the fight, it took a while for them to make up.
- - She spent an hour making herself up.
- - She doesn't usually make up during the day."
manner,"- She has a friendly manner.
- - He spoke in a calm manner.
- - The task was completed in a professional manner.
- - In what manner should I proceed?
- - It's the local manner to greet strangers.
- - He was brought up in a traditional manner."
marriage equality,"- Marriage equality is a fundamental human right.
- - The fight for marriage equality has been long and difficult."
masterwork,"- The Mona Lisa is considered a masterwork of Renaissance art.
- - This novel is a masterwork of contemporary literature.
- - The architect's final design was a masterwork of engineering and aesthetics.
- - Her performance was a masterwork of dramatic expression."
masthead,"- The masthead of the newspaper included the date and volume number.
- - Check the masthead for contact information.
- - The sailor climbed to the masthead to get a better view.
- - From the masthead, he could see the approaching ships."
maturational,"- Maturation is a maturational process that depends on the unfolding of increasingly complex neural networks.
- - Maturational changes influence a child's ability to understand abstract concepts."
may or may not,"- The project may or may not be approved.
- - She may or may not come to the party.
- - There may or may not be a delay.
- - He may or may not have the answer."
mayday,"- The captain sent out a mayday signal.
- - The mayday call was heard by several ships.
- - Mayday! Mayday! We are sinking!
- - If you are in immediate danger, shout 'Mayday'."
mayor,"- The mayor announced a new city initiative.
- - She was elected mayor last year."
medical mask,"- The doctor wore a medical mask to protect himself from the virus.
- - Medical masks are essential personal protective equipment for healthcare workers."
medication,"- The doctor prescribed medication for her illness.
- - She takes medication daily to manage her condition.
- - Rest and fluids are often the best medication for a cold.
- - Laughter can be a great medication."
enormity,"- The enormity of the crime shocked the nation.
- - We were all stunned by the enormity of the disaster.
- - The sheer enormity of the task was daunting.
- - He was overwhelmed by the enormity of the building."
medal play,"- The golf tournament will be decided by medal play.
- - In medal play, every stroke counts.
- - Medal play is also known as stroke play.
- - Most professional golf tournaments use medal play scoring."
men in grey suits,"- The men in grey suits entered the building.
- - Who are the men in grey suits standing near the CEO?
- - Decisions were made by the men in grey suits behind the scenes.
- - The men in grey suits at headquarters control the company's direction."
mince pie,"- We always have mince pie at Christmas.
- - She baked a delicious mince pie for the holidays."
minimally,"- The project was minimally funded.
- - I minimally understand the instructions.
- - They were minimally affected by the crisis.
- - The damage was minimally invasive.
- - He contributed minimally to the discussion.
- - The recipe calls for minimally processed ingredients."
mistress,"- She was his mistress for five years.
- - He left his wife for his mistress.
- - The dog obeyed its mistress.
- - She is the mistress of the house."
mix,"- Mix the flour and sugar together.
- - Don't mix business with pleasure.
- - This paint is a mix of blue and green.
- - The music was a mix of different genres.
- - He doesn't mix well with new people.
- - Oil and water don't mix."
mix it (with somebody),"- She mixes well with new people.
- - He doesn't mix much with his colleagues after work.
- - Oil and water don't mix.
- - Politics and religion don't mix well.
- - Go and mix with the other guests.
- - I tried to mix with them, but they weren't very friendly."
moated,"- The castle was moated for protection.
- - A moated garden offers a unique aesthetic."
mob,"- The angry mob protested outside the government building.
- - A large mob gathered in the town square.
- - Fans mobbed the celebrity as he left the concert.
- - The reporters mobbed the politician after the press conference."
mobilize,"- We need to mobilize support for the project.
- - The troops were mobilized for war.
- - The government mobilized resources to fight the epidemic.
- - They mobilized the army to defend the border.
- - The charity is trying to mobilize volunteers for the event.
- - We need to mobilize more people to attend the meeting."
monotheism,"- Monotheism is the belief in one god.
- - Judaism, Christianity, and Islam are all monotheistic religions."
monterey jack,"- I ordered a sandwich with Monterey Jack cheese.
- - Monterey Jack is a semi-hard cheese."
moralist,"- He is a moralist who always judges others.
- - The moralist condemned their lifestyle.
- - The story had a moralist tone.
- - His moralist views were not well-received."
mouth,"- Open your mouth wide.
- - The cave's mouth was dark and forbidding.
- - She has a big mouth; she can't keep secrets.
- - The river flows into the mouth of the sea.
- - He mouthed an apology but didn't say it audibly.
- - She mouthed the words along with the song."
mover,"- The movers carefully wrapped the furniture.
- - We hired a team of movers to help us relocate.
- - She was the mover of the resolution.
- - He is a mover and shaker in the company.
- - She is a great mover on the dance floor.
- - He is known as a fluid and expressive mover."
mussels,"- We ordered mussels as an appetizer.
- - Mussels are a popular seafood dish."
mythology,"- Greek mythology is full of fascinating stories.
- - She studied mythology at university.
- - The mythology surrounding the hero grew over time.
- - Every culture has its own unique mythology."
nature reserve,"- The nature reserve is home to many endangered species.
- - We visited the nature reserve to observe the local wildlife."
nerf,"- The game developers nerfed the most powerful weapon in the new update.
- - They decided to nerf the boss's attack damage to make the fight more balanced.
- - The nerf to that character made them less popular.
- - Players are complaining about the recent nerf to their favorite abilities."
nestle,"- The child nestled against his mother.
- - She nestled her head on his shoulder.
- - Birds nestle in the eaves.
- - The village is nestled in a valley.
- - She nestled the blanket around the baby.
- - The company is nestled among global leaders."
new potatoes,"- We had new potatoes with butter and mint for dinner.
- - New potatoes are often smaller and have thinner skins."
new zealand,"- I've always wanted to visit New Zealand.
- - New Zealand is famous for its stunning landscapes.
- - The capital of New Zealand is Wellington.
- - She moved to New Zealand for better opportunities.
- - He is a New Zealand citizen.
- - We enjoyed the New Zealand wine."
night,"- I can't sleep at night.
- - The stars shine brightly at night.
- - Good night, see you tomorrow.
- - He works the night shift."
nimbus,"- A nimbus is a dark, grey cloud carrying rain.
- - The saint was depicted with a nimbus around his head.
- - Her face was surrounded by a nimbus of light.
- - The stage lights created a nimbus around the singer."
"no pain, no gain","- I know this workout is hard, but no pain, no gain.
- - She studied all night; no pain, no gain, she hopes.
- - If you want to achieve your goals, remember: no pain, no gain.
- - Starting a business is tough, but no pain, no gain."
no-hoper,"- He's a complete no-hoper; he'll never succeed.
- - The teacher considered him a no-hoper.
- - They dismissed him as a no-hoper.
- - Don't waste your time on him, he's a no-hoper."
not budge/give an inch,"- The company refuses to budge on its pricing.
- - Despite the pressure, he wouldn't give an inch.
- - I tried to push the door, but it wouldn't budge.
- - The heavy table wouldn't budge no matter how hard I pushed."
